image_name,damage_type,location,severity,bbox_x1,bbox_y1,bbox_x2,bbox_y2
0236.jpeg,dent,right_door,low,0.932990,0.193050,0.123711,0.069498
0236.jpeg,crack,other_location,high,0.497423,0.345560,0.994845,0.691120
0236.jpeg,broken_part,windshield,medium,0.664948,0.216216,0.659794,0.370656
0236.jpeg,broken_part,right_door,high,0.786082,0.548263,0.417526,0.285714
0236.jpeg,crack,front_bumper,high,0.634021,0.776062,0.721649,0.440154
0236.jpeg,dent,right_door,low,0.899485,0.362934,0.139175,0.077220
0236.jpeg,dent,right_door,low,0.945876,0.698842,0.097938,0.092664
0236.jpeg,dent,side_panel,low,0.396907,0.681467,0.123711,0.104247
0236.jpeg,dent,front_bumper,low,0.182990,0.963320,0.097938,0.065637
0236.jpeg,crack,front_bumper,medium,0.085052,0.957529,0.118557,0.077220
0236.jpeg,dent,front_bumper,low,0.131443,0.857143,0.128866,0.108108
0236.jpeg,dent,front_bumper,low,0.257732,0.949807,0.103093,0.084942
0236.jpeg,dent,front_bumper,low,0.317010,0.839768,0.149485,0.150579
0236.jpeg,dent,rear_bumper,low,0.814433,0.150579,0.123711,0.061776
0236.jpeg,dent,right_door,low,0.786082,0.229730,0.128866,0.073359
0237.jpeg,dent,right_door,low,0.951673,0.288770,0.089219,0.203209
0239.jpeg,crack,front_bumper,high,0.718147,0.876289,0.555985,0.237113
0239.jpeg,dent,front_bumper,low,0.507722,0.765464,0.081081,0.118557
0239.jpeg,dent,left_door,low,0.167954,0.791237,0.088803,0.170103
0239.jpeg,dent,left_door,low,0.069498,0.706186,0.138996,0.103093
0239.jpeg,dent,left_door,low,0.067568,0.819588,0.111969,0.154639
0241.jpeg,crack,front_bumper,high,0.265000,0.842262,0.316667,0.303571
0241.jpeg,dent,right_door,medium,0.900000,0.764881,0.193333,0.458333
0241.jpeg,dent,left_door,low,0.048333,0.839286,0.096667,0.095238
0242.jpeg,crack,front_bumper,medium,0.397959,0.949029,0.142857,0.092233
0242.jpeg,crack,hood,medium,0.371429,0.337379,0.065306,0.092233
0243.jpeg,crack,front_bumper,medium,0.729091,0.950820,0.534545,0.087432
0243.jpeg,crack,side_panel,medium,0.043636,0.948087,0.087273,0.092896
0243.jpeg,crack,left_door,high,0.176364,0.778689,0.352727,0.431694
0243.jpeg,dent,side_panel,low,0.587273,0.472678,0.112727,0.136612
0246.jpeg,crack,front_bumper,medium,0.897683,0.922680,0.196911,0.144330
0246.jpeg,crack,rear_bumper,medium,0.754826,0.072165,0.312741,0.144330
0247.jpeg,crack,left_door,medium,0.183398,0.729381,0.366795,0.530928
0247.jpeg,broken_part,front_bumper,medium,0.637066,0.755155,0.262548,0.355670
0247.jpeg,dent,front_bumper,low,0.615830,0.940722,0.150579,0.097938
0247.jpeg,dent,left_door,low,0.038610,0.435567,0.077220,0.139175
0247.jpeg,dent,right_door,medium,0.888031,0.698454,0.216216,0.190722
0248.jpeg,broken_part,front_bumper,medium,0.773946,0.948187,0.444444,0.093264
0248.jpeg,paint_damage,front_bumper,low,0.618774,0.761658,0.088123,0.186528
0248.jpeg,dent,side_panel,low,0.957854,0.937824,0.061303,0.093264
0250.jpeg,dent,right_door,medium,0.735521,0.600515,0.320463,0.252577
0251.jpeg,dent,front_bumper,low,0.220077,0.935567,0.115830,0.118557
0251.jpeg,dent,left_door,low,0.092664,0.791237,0.185328,0.252577
0252.jpeg,crack,front_bumper,medium,0.764479,0.794872,0.463320,0.400000
0252.jpeg,crack,left_door,medium,0.048263,0.874359,0.096525,0.241026
0253.jpeg,dent,left_door,low,0.063707,0.796392,0.088803,0.128866
0254.jpeg,crack,windshield,medium,0.534749,0.219072,0.227799,0.149485
0254.jpeg,dent,front_bumper,low,0.268340,0.809278,0.088803,0.082474
0256.jpeg,dent,front_bumper,low,0.222008,0.940722,0.119691,0.108247
0256.jpeg,crack,roof,medium,0.808880,0.172680,0.374517,0.221649
0257.jpeg,dent,front_bumper,low,0.086538,0.855670,0.173077,0.237113
0258.jpeg,crack,other_location,high,0.497423,0.370656,0.994845,0.694981
0258.jpeg,crack,side_panel,medium,0.322165,0.673745,0.324742,0.111969
0261.jpeg,dent,rear_bumper,low,0.154545,0.040984,0.112727,0.081967
0261.jpeg,dent,rear_bumper,medium,0.076364,0.090164,0.152727,0.180328
0262.jpeg,dent,front_bumper,low,0.630597,0.954787,0.059701,0.079787
0262.jpeg,paint_damage,front_bumper,low,0.255597,0.752660,0.063433,0.079787
0263.jpeg,crack,front_bumper,medium,0.166023,0.927835,0.332046,0.134021
0263.jpeg,dent,front_bumper,low,0.754826,0.863402,0.096525,0.149485
0263.jpeg,dent,right_door,low,0.907336,0.835052,0.061776,0.082474
0264.jpeg,broken_part,front_bumper,medium,0.942085,0.902062,0.108108,0.185567
0264.jpeg,dent,right_door,medium,0.874517,0.716495,0.243243,0.195876
0264.jpeg,dent,right_door,low,0.880309,0.461340,0.108108,0.097938
0264.jpeg,broken_part,rear_bumper,medium,0.349421,0.043814,0.258687,0.077320
0264.jpeg,dent,right_door,low,0.861004,0.556701,0.154440,0.216495
0265.jpeg,crack,rear_bumper,medium,0.768333,0.086310,0.076667,0.172619
0265.jpeg,dent,side_panel,low,0.971667,0.053571,0.050000,0.107143
0265.jpeg,dent,front_bumper,low,0.126667,0.940476,0.253333,0.107143
0268.jpeg,dent,left_door,low,0.068966,0.416185,0.137931,0.173410
0269.jpeg,dent,left_door,medium,0.140000,0.795082,0.236364,0.398907
0269.jpeg,dent,left_door,medium,0.143636,0.215847,0.287273,0.431694
0269.jpeg,dent,right_door,low,0.930909,0.849727,0.065455,0.158470
0270.jpeg,crack,rear_bumper,medium,0.830116,0.069588,0.077220,0.139175
0270.jpeg,dent,front_bumper,low,0.399614,0.868557,0.119691,0.231959
0270.jpeg,dent,front_bumper,low,0.496139,0.711340,0.111969,0.082474
0271.jpeg,dent,right_door,low,0.768340,0.752577,0.193050,0.164948
0272.jpeg,crack,rear_bumper,medium,0.055985,0.064433,0.111969,0.128866
0272.jpeg,crack,left_door,low,0.104247,0.788660,0.077220,0.113402
0273.jpeg,dent,left_door,low,0.154545,0.551913,0.112727,0.163934
0273.jpeg,dent,left_door,low,0.049091,0.827869,0.098182,0.147541
0274.jpeg,crack,left_door,low,0.029304,0.124324,0.058608,0.194595
0275.jpeg,paint_damage,side_panel,medium,0.399614,0.659794,0.088803,0.082474
0275.jpeg,dent,side_panel,low,0.523166,0.538660,0.096525,0.128866
0275.jpeg,dent,side_panel,low,0.621622,0.559278,0.061776,0.077320
0280.jpeg,crack,roof,medium,0.749035,0.180412,0.494208,0.340206
0280.jpeg,crack,left_door,medium,0.042471,0.193299,0.084942,0.159794
0280.jpeg,crack,right_door,medium,0.899614,0.698454,0.193050,0.087629
0280.jpeg,dent,side_panel,low,0.490347,0.592784,0.146718,0.144330
0280.jpeg,dent,rear_bumper,low,0.268340,0.134021,0.096525,0.123711
0280.jpeg,dent,right_door,low,0.700772,0.582474,0.227799,0.113402
0281.jpeg,dent,roof,low,0.605455,0.166667,0.120000,0.125683
0283.jpeg,broken_part,front_bumper,medium,0.527027,0.927835,0.119691,0.134021
0283.jpeg,dent,front_bumper,low,0.637066,0.945876,0.154440,0.097938
0283.jpeg,crack,front_bumper,high,0.243243,0.768041,0.486486,0.453608
0286.jpeg,crack,front_bumper,medium,0.753623,0.907104,0.485507,0.174863
0287.jpeg,crack,front_bumper,high,0.465779,0.893229,0.703422,0.203125
0287.jpeg,crack,front_bumper,medium,0.110266,0.947917,0.220532,0.093750
0287.jpeg,dent,front_bumper,low,0.528517,0.838542,0.091255,0.083333
0291.jpeg,crack,rear_bumper,medium,0.791506,0.074742,0.262548,0.149485
0291.jpeg,dent,front_bumper,low,0.739382,0.953608,0.057915,0.082474
0291.jpeg,crack,rear_bumper,medium,0.876448,0.134021,0.108108,0.123711
0291.jpeg,crack,left_door,medium,0.036680,0.239691,0.073359,0.097938
0295.jpeg,crack,side_panel,medium,0.372587,0.574742,0.745174,0.458763
0295.jpeg,dent,left_door,medium,0.181467,0.742268,0.293436,0.268041
0296.jpeg,paint_damage,front_bumper,medium,0.629464,0.772321,0.196429,0.223214
0296.jpeg,paint_damage,right_door,low,0.720982,0.667411,0.120536,0.075893
0296.jpeg,broken_part,front_bumper,high,0.198661,0.790179,0.397321,0.410714
0296.jpeg,crack,left_door,medium,0.138393,0.388393,0.276786,0.178571
0296.jpeg,paint_damage,side_panel,medium,0.312500,0.448661,0.125000,0.111607
0297.jpeg,crack,front_bumper,medium,0.428846,0.835052,0.188462,0.092784
0301.jpeg,dent,left_door,low,0.027273,0.650273,0.054545,0.087432
0303.jpeg,broken_part,side_panel,medium,0.038851,0.044118,0.077703,0.088235
0303.jpeg,broken_part,side_panel,low,0.057432,0.950000,0.060811,0.088235
0303.jpeg,dent,right_door,medium,0.839527,0.773529,0.287162,0.394118
0307.jpeg,crack,right_door,medium,0.903846,0.206186,0.184615,0.164948
0309.jpeg,paint_damage,rear_bumper,medium,0.179537,0.092784,0.166023,0.185567
0309.jpeg,dent,front_bumper,medium,0.594595,0.904639,0.138996,0.180412
0309.jpeg,crack,left_door,medium,0.243243,0.329897,0.231660,0.103093
0309.jpeg,paint_damage,rear_bumper,medium,0.214286,0.134021,0.088803,0.103093
0309.jpeg,paint_damage,left_door,medium,0.038610,0.113402,0.077220,0.154639
0309.jpeg,dent,right_door,low,0.936293,0.623711,0.119691,0.113402
0309.jpeg,paint_damage,side_panel,low,0.955598,0.054124,0.081081,0.108247
0312.jpeg,crack,side_panel,medium,0.960526,0.058201,0.071429,0.116402
0312.jpeg,dent,side_panel,low,0.593985,0.664021,0.082707,0.132275
0312.jpeg,crack,right_door,medium,0.783835,0.756614,0.424812,0.296296
0313.jpeg,crack,right_door,medium,0.907336,0.685567,0.177606,0.206186
0313.jpeg,dent,left_door,low,0.090734,0.659794,0.073359,0.082474
0314.jpeg,dent,rear_bumper,low,0.368726,0.103093,0.181467,0.206186
0314.jpeg,crack,left_door,medium,0.067568,0.474227,0.135135,0.154639
0314.jpeg,dent,front_bumper,low,0.364865,0.899485,0.096525,0.108247
0314.jpeg,dent,side_panel,low,0.333977,0.435567,0.127413,0.170103
0314.jpeg,dent,rear_bumper,low,0.106178,0.146907,0.212355,0.170103
0316.jpeg,dent,front_bumper,low,0.187259,0.938144,0.119691,0.113402
0316.jpeg,dent,front_bumper,low,0.316602,0.907216,0.185328,0.175258
0316.jpeg,crack,front_bumper,medium,0.067568,0.927835,0.135135,0.134021
0316.jpeg,crack,front_bumper,medium,0.694981,0.912371,0.594595,0.164948
0316.jpeg,paint_damage,right_door,medium,0.901544,0.677835,0.189189,0.242268
0317.jpeg,crack,right_door,medium,0.949807,0.878866,0.092664,0.231959
0317.jpeg,crack,front_bumper,medium,0.808880,0.793814,0.127413,0.175258
0318.jpeg,broken_part,roof,high,0.769406,0.163043,0.452055,0.326087
0318.jpeg,dent,front_bumper,low,0.901826,0.932609,0.187215,0.126087
0318.jpeg,dent,front_bumper,medium,0.732877,0.773913,0.515982,0.443478
0318.jpeg,dent,rear_bumper,low,0.100457,0.063043,0.136986,0.126087
0318.jpeg,crack,right_door,low,0.840183,0.493478,0.191781,0.143478
0318.jpeg,dent,front_bumper,low,0.465753,0.717391,0.118721,0.078261
0319.jpeg,dent,front_bumper,low,0.643333,0.949405,0.080000,0.089286
0321.jpeg,dent,front_bumper,low,0.289575,0.840206,0.108108,0.092784
0324.jpeg,crack,windshield,high,0.411417,0.265152,0.822835,0.530303
0328.jpeg,crack,front_bumper,medium,0.322742,0.895833,0.143813,0.196429
0328.jpeg,dent,right_door,medium,0.874582,0.821429,0.244147,0.345238
0328.jpeg,dent,front_bumper,low,0.744147,0.824405,0.070234,0.172619
0329.jpeg,crack,front_bumper,medium,0.919118,0.902703,0.154412,0.183784
0330.jpeg,paint_damage,right_door,medium,0.875000,0.789474,0.240196,0.242915
0330.jpeg,dent,rear_bumper,medium,0.708333,0.042510,0.171569,0.085020
0330.jpeg,paint_damage,right_door,medium,0.936275,0.514170,0.117647,0.105263
0331.jpeg,dent,front_bumper,medium,0.111667,0.839286,0.223333,0.309524
0332.jpeg,dent,left_door,low,0.191667,0.767857,0.116667,0.154762
0335.jpeg,crack,left_door,medium,0.077220,0.293814,0.154440,0.154639
0335.jpeg,crack,right_door,medium,0.698842,0.706186,0.077220,0.257732
0335.jpeg,crack,right_door,medium,0.951737,0.445876,0.088803,0.469072
0335.jpeg,crack,front_bumper,low,0.538610,0.739691,0.096525,0.139175
0335.jpeg,paint_damage,front_bumper,low,0.743243,0.922680,0.505792,0.144330
0336.jpeg,dent,rear_bumper,low,0.878378,0.051546,0.104247,0.103093
0336.jpeg,paint_damage,front_bumper,low,0.783784,0.847938,0.084942,0.170103
0336.jpeg,dent,side_panel,low,0.393822,0.394330,0.138996,0.128866
0336.jpeg,dent,left_door,low,0.129344,0.474227,0.166023,0.298969
0337.jpeg,paint_damage,left_door,medium,0.048889,0.873333,0.097778,0.244444
0337.jpeg,paint_damage,right_door,medium,0.882222,0.826667,0.093333,0.088889
0337.jpeg,paint_damage,right_door,medium,0.957778,0.737778,0.075556,0.088889
0337.jpeg,dent,front_bumper,low,0.911111,0.951111,0.168889,0.088889
0340.jpeg,broken_part,right_door,high,0.828185,0.798969,0.335907,0.391753
0340.jpeg,dent,front_bumper,low,0.160232,0.904639,0.073359,0.087629
0343.jpeg,dent,front_bumper,low,0.900000,0.890805,0.193103,0.206897
0344.jpeg,dent,left_door,low,0.078947,0.165663,0.098684,0.331325
0345.jpeg,dent,front_bumper,low,0.091379,0.942197,0.182759,0.104046
0346.jpeg,dent,front_bumper,low,0.586957,0.934524,0.123746,0.119048
0346.jpeg,dent,right_door,low,0.961538,0.913690,0.070234,0.160714
0346.jpeg,broken_part,front_bumper,medium,0.255853,0.889881,0.511706,0.208333
0346.jpeg,dent,front_bumper,low,0.474916,0.934524,0.053512,0.119048
0346.jpeg,crack,rear_bumper,medium,0.132107,0.062500,0.177258,0.125000
0346.jpeg,crack,left_door,medium,0.110368,0.776786,0.220736,0.196429
0349.jpeg,crack,front_bumper,low,0.862934,0.956186,0.266409,0.077320
0349.jpeg,crack,left_door,medium,0.083012,0.762887,0.166023,0.463918
0349.jpeg,dent,right_door,low,0.803089,0.703608,0.169884,0.242268
0349.jpeg,paint_damage,right_door,low,0.878378,0.706186,0.088803,0.134021
0349.jpeg,dent,front_bumper,low,0.691120,0.822165,0.270270,0.170103
0350.jpeg,crack,side_panel,low,0.946154,0.953608,0.100000,0.082474
0350.jpeg,crack,rear_bumper,medium,0.140385,0.069588,0.250000,0.139175
0350.jpeg,crack,rear_bumper,medium,0.434615,0.097938,0.392308,0.195876
0350.jpeg,crack,right_door,medium,0.746154,0.389175,0.500000,0.293814
0350.jpeg,dent,front_bumper,low,0.892308,0.863402,0.092308,0.139175
0350.jpeg,dent,left_door,low,0.069231,0.309278,0.138462,0.216495
0350.jpeg,dent,windshield,low,0.623077,0.208763,0.069231,0.077320
0351.jpeg,broken_part,rear_bumper,medium,0.045000,0.074405,0.090000,0.148810
0351.jpeg,dent,rear_bumper,low,0.705000,0.062500,0.110000,0.125000
0351.jpeg,dent,right_door,low,0.946667,0.842262,0.100000,0.148810
0352.jpeg,crack,side_panel,medium,0.496364,0.688525,0.083636,0.218579
0352.jpeg,crack,right_door,high,0.732727,0.418033,0.527273,0.377049
0352.jpeg,crack,front_bumper,high,0.743636,0.743169,0.505455,0.273224
0354.jpeg,dent,front_bumper,low,0.293860,0.943439,0.070175,0.104072
0354.jpeg,dent,front_bumper,medium,0.135965,0.920814,0.271930,0.149321
0354.jpeg,dent,left_door,low,0.054825,0.809955,0.109649,0.135747
0354.jpeg,dent,left_door,low,0.157895,0.737557,0.105263,0.099548
0355.jpeg,crack,left_door,high,0.198276,0.344828,0.396552,0.689655
0355.jpeg,dent,front_bumper,low,0.455172,0.885057,0.131034,0.114943
0355.jpeg,dent,right_door,low,0.817241,0.729885,0.158621,0.114943
0355.jpeg,dent,hood,low,0.705172,0.321839,0.051724,0.126437
0355.jpeg,dent,front_bumper,low,0.684483,0.787356,0.106897,0.091954
0356.jpeg,crack,right_door,medium,0.909091,0.674863,0.174545,0.639344
0357.jpeg,crack,right_door,medium,0.875940,0.555263,0.067669,0.100000
0357.jpeg,dent,right_door,low,0.875940,0.673684,0.240602,0.157895
0358.jpeg,dent,left_door,low,0.082090,0.843085,0.111940,0.122340
0359.jpeg,crack,front_bumper,medium,0.241313,0.909794,0.482625,0.170103
0361.jpeg,paint_damage,left_door,high,0.141221,0.562500,0.282443,0.333333
0361.jpeg,crack,left_door,medium,0.200382,0.244792,0.400763,0.302083
0361.jpeg,dent,left_door,low,0.141221,0.192708,0.076336,0.093750
0361.jpeg,crack,left_door,low,0.064885,0.794271,0.129771,0.078125
0362.jpeg,crack,right_door,medium,0.960000,0.892857,0.073333,0.202381
0364.jpeg,dent,front_bumper,low,0.347490,0.956186,0.069498,0.077320
0364.jpeg,dent,front_bumper,low,0.768340,0.917526,0.115830,0.123711
0364.jpeg,dent,front_bumper,low,0.936293,0.889175,0.119691,0.190722
0364.jpeg,dent,left_door,low,0.092664,0.824742,0.092664,0.123711
0365.jpeg,crack,other_location,high,0.498069,0.373711,0.996139,0.747423
0367.jpeg,crack,rear_bumper,medium,0.183636,0.068306,0.367273,0.136612
0368.jpeg,dent,front_bumper,medium,0.220077,0.793814,0.223938,0.175258
0368.jpeg,crack,right_door,medium,0.949807,0.435567,0.092664,0.149485
0368.jpeg,broken_part,front_bumper,high,0.772201,0.770619,0.401544,0.448454
0370.jpeg,crack,roof,high,0.498069,0.162371,0.996139,0.324742
0370.jpeg,crack,other_location,medium,0.498069,0.682990,0.996139,0.623711
0370.jpeg,crack,side_panel,low,0.642857,0.376289,0.111969,0.237113
0370.jpeg,crack,side_panel,low,0.667954,0.577320,0.108108,0.113402
0373.jpeg,dent,right_door,low,0.891732,0.343434,0.137795,0.202020
0375.jpeg,crack,front_bumper,medium,0.246781,0.946759,0.493562,0.097222
0375.jpeg,crack,front_bumper,medium,0.725322,0.731481,0.540773,0.527778
0375.jpeg,broken_part,right_door,medium,0.901288,0.759259,0.188841,0.129630
0377.jpeg,paint_damage,front_bumper,medium,0.408027,0.892857,0.334448,0.202381
0378.jpeg,crack,front_bumper,medium,0.899614,0.945876,0.193050,0.097938
0378.jpeg,dent,side_panel,medium,0.455598,0.670103,0.092664,0.185567
0378.jpeg,dent,right_door,medium,0.837838,0.711340,0.316602,0.278351
0378.jpeg,dent,front_bumper,low,0.731660,0.750000,0.135135,0.118557
0381.jpeg,paint_damage,left_door,medium,0.048263,0.363402,0.096525,0.180412
0381.jpeg,paint_damage,left_door,low,0.038610,0.603093,0.077220,0.185567
0381.jpeg,dent,front_bumper,low,0.096525,0.956186,0.193050,0.077320
0381.jpeg,dent,left_door,low,0.075290,0.835052,0.150579,0.247423
0381.jpeg,dent,right_door,low,0.957529,0.889175,0.077220,0.097938
0383.jpeg,crack,rear_bumper,medium,0.125000,0.096567,0.250000,0.184549
0383.jpeg,crack,roof,medium,0.240741,0.115880,0.148148,0.231760
0383.jpeg,broken_part,left_door,low,0.203704,0.510730,0.092593,0.085837
0383.jpeg,crack,left_door,low,0.229167,0.474249,0.097222,0.072961
0384.jpeg,crack,front_bumper,medium,0.882463,0.954787,0.227612,0.079787
0384.jpeg,crack,right_door,medium,0.783582,0.553191,0.425373,0.255319
0384.jpeg,dent,right_door,low,0.755597,0.476064,0.085821,0.079787
0386.jpeg,broken_part,hood,high,0.677606,0.265464,0.637066,0.530928
0386.jpeg,dent,right_door,medium,0.866795,0.806701,0.258687,0.242268
0386.jpeg,broken_part,roof,medium,0.422780,0.188144,0.073359,0.118557
0386.jpeg,dent,right_door,low,0.922780,0.417526,0.092664,0.082474
0386.jpeg,dent,hood,low,0.391892,0.327320,0.081081,0.087629
0386.jpeg,dent,left_door,low,0.148649,0.376289,0.196911,0.144330
0387.jpeg,dent,right_door,low,0.963320,0.317949,0.057915,0.123077
0387.jpeg,dent,right_door,medium,0.905405,0.715385,0.181467,0.558974
0387.jpeg,dent,side_panel,low,0.513514,0.435897,0.084942,0.112821
0388.jpeg,crack,right_door,medium,0.915058,0.523196,0.162162,0.314433
0390.jpeg,dent,rear_bumper,low,0.930851,0.069832,0.081560,0.139665
0391.jpeg,dent,rear_bumper,low,0.643678,0.082902,0.176245,0.165803
0391.jpeg,broken_part,rear_bumper,medium,0.879310,0.108808,0.233716,0.217617
0391.jpeg,broken_part,right_door,medium,0.758621,0.510363,0.114943,0.098446
0391.jpeg,dent,windshield,low,0.649425,0.251295,0.118774,0.077720
0392.jpeg,crack,left_door,medium,0.106178,0.729381,0.212355,0.128866
0392.jpeg,crack,front_bumper,low,0.754826,0.845361,0.073359,0.092784
0395.jpeg,crack,right_door,medium,0.930502,0.695876,0.131274,0.103093
0397.jpeg,broken_part,side_panel,medium,0.959459,0.951031,0.073359,0.087629
0397.jpeg,dent,front_bumper,low,0.693050,0.938144,0.119691,0.113402
0397.jpeg,crack,front_bumper,medium,0.364865,0.742268,0.189189,0.350515
0397.jpeg,dent,front_bumper,low,0.308880,0.902062,0.115830,0.185567
0397.jpeg,dent,left_door,low,0.117761,0.641753,0.104247,0.108247
0397.jpeg,dent,right_door,low,0.882239,0.737113,0.111969,0.103093
0397.jpeg,dent,front_bumper,low,0.239382,0.788660,0.069498,0.103093
0400.jpeg,broken_part,front_bumper,medium,0.277992,0.847938,0.262548,0.293814
0400.jpeg,dent,left_door,medium,0.245174,0.698454,0.073359,0.097938
0400.jpeg,dent,front_bumper,low,0.899614,0.878866,0.193050,0.159794
0401.jpeg,crack,front_bumper,medium,0.853282,0.899485,0.285714,0.190722
0401.jpeg,crack,front_bumper,low,0.386100,0.956186,0.138996,0.077320
0401.jpeg,paint_damage,front_bumper,low,0.440154,0.881443,0.084942,0.103093
0403.jpeg,crack,left_door,low,0.048333,0.678571,0.096667,0.440476
0404.jpeg,crack,left_door,medium,0.027273,0.387978,0.054545,0.109290
0405.jpeg,dent,front_bumper,low,0.274131,0.907216,0.115830,0.123711
0407.jpeg,dent,side_panel,low,0.949640,0.947514,0.093525,0.093923
0408.jpeg,crack,side_panel,medium,0.395753,0.607692,0.220077,0.117949
0411.jpeg,dent,left_door,medium,0.135135,0.184615,0.270270,0.369231
0411.jpeg,crack,front_bumper,medium,0.403475,0.889744,0.498069,0.210256
0411.jpeg,dent,right_door,medium,0.899614,0.189744,0.193050,0.369231
0411.jpeg,dent,rear_bumper,low,0.903475,0.061538,0.077220,0.102564
0411.jpeg,dent,hood,low,0.416988,0.356410,0.092664,0.158974
0411.jpeg,dent,right_door,medium,0.882239,0.469231,0.158301,0.333333
0411.jpeg,dent,left_door,low,0.270270,0.451282,0.084942,0.092308
0411.jpeg,dent,left_door,low,0.301158,0.374359,0.061776,0.082051
0412.jpeg,dent,left_door,medium,0.160920,0.665803,0.321839,0.388601
0412.jpeg,paint_damage,left_door,low,0.191571,0.613990,0.099617,0.150259
0412.jpeg,crack,left_door,low,0.099617,0.481865,0.084291,0.124352
0412.jpeg,dent,left_door,low,0.289272,0.525907,0.103448,0.139896
0414.jpeg,dent,front_bumper,low,0.189189,0.796392,0.169884,0.252577
0414.jpeg,crack,right_door,medium,0.799228,0.605670,0.131274,0.757732
