image_name,split,class_id,class_name,bbox_xc,bbox_yc,bbox_w,bbox_h,source
0029.JPEG,val,16,medium,0.102317,0.863402,0.204633,0.262887,enhanced_detection
0029.JPEG,val,0,dent,0.940154,0.902062,0.111969,0.185567,enhanced_detection
0029.JPEG,val,6,front_bumper,0.940154,0.902062,0.111969,0.185567,enhanced_detection
0029.JPEG,val,15,low,0.940154,0.902062,0.111969,0.185567,enhanced_detection
0029.JPEG,val,2,crack,0.416988,0.75,0.131274,0.128866,enhanced_detection
0029.JPEG,val,6,front_bumper,0.416988,0.75,0.131274,0.128866,enhanced_detection
0029.JPEG,val,16,medium,0.416988,0.75,0.131274,0.128866,enhanced_detection
0029.JPEG,val,0,dent,0.185328,0.716495,0.177606,0.216495,enhanced_detection
0029.JPEG,val,10,left_door,0.185328,0.716495,0.177606,0.216495,enhanced_detection
0029.JPEG,val,16,medium,0.185328,0.716495,0.177606,0.216495,enhanced_detection
0029.JPEG,val,0,dent,0.554054,0.734536,0.096525,0.108247,enhanced_detection
0029.JPEG,val,6,front_bumper,0.554054,0.734536,0.096525,0.108247,enhanced_detection
0029.JPEG,val,15,low,0.554054,0.734536,0.096525,0.108247,enhanced_detection
0029.JPEG,val,2,crack,0.305019,0.886598,0.092664,0.082474,enhanced_detection
0029.JPEG,val,6,front_bumper,0.305019,0.886598,0.092664,0.082474,enhanced_detection
0029.JPEG,val,15,low,0.305019,0.886598,0.092664,0.082474,enhanced_detection
0031.JPEG,val,0,dent,0.201439,0.906593,0.223022,0.175824,enhanced_detection
0031.JPEG,val,6,front_bumper,0.201439,0.906593,0.223022,0.175824,enhanced_detection
0031.JPEG,val,15,low,0.201439,0.906593,0.223022,0.175824,enhanced_detection
0032.JPEG,val,2,crack,0.793375,0.842767,0.104101,0.113208,enhanced_detection
0032.JPEG,val,6,front_bumper,0.793375,0.842767,0.104101,0.113208,enhanced_detection
0032.JPEG,val,16,medium,0.793375,0.842767,0.104101,0.113208,enhanced_detection
0032.JPEG,val,0,dent,0.542587,0.732704,0.227129,0.446541,enhanced_detection
0032.JPEG,val,6,front_bumper,0.542587,0.732704,0.227129,0.446541,enhanced_detection
0032.JPEG,val,16,medium,0.542587,0.732704,0.227129,0.446541,enhanced_detection
0032.JPEG,val,0,dent,0.555205,0.481132,0.107256,0.169811,enhanced_detection
0032.JPEG,val,13,side_panel,0.555205,0.481132,0.107256,0.169811,enhanced_detection
0032.JPEG,val,15,low,0.555205,0.481132,0.107256,0.169811,enhanced_detection
0033.JPEG,val,0,dent,0.574205,0.837079,0.123675,0.134831,enhanced_detection
0033.JPEG,val,6,front_bumper,0.574205,0.837079,0.123675,0.134831,enhanced_detection
0033.JPEG,val,15,low,0.574205,0.837079,0.123675,0.134831,enhanced_detection
0034.JPEG,val,0,dent,0.198842,0.935897,0.173745,0.117949,enhanced_detection
0034.JPEG,val,6,front_bumper,0.198842,0.935897,0.173745,0.117949,enhanced_detection
0034.JPEG,val,15,low,0.198842,0.935897,0.173745,0.117949,enhanced_detection
0034.JPEG,val,0,dent,0.749035,0.876923,0.262548,0.235897,enhanced_detection
0034.JPEG,val,6,front_bumper,0.749035,0.876923,0.262548,0.235897,enhanced_detection
0034.JPEG,val,16,medium,0.749035,0.876923,0.262548,0.235897,enhanced_detection
0034.JPEG,val,0,dent,0.92471,0.912821,0.104247,0.164103,enhanced_detection
0034.JPEG,val,6,front_bumper,0.92471,0.912821,0.104247,0.164103,enhanced_detection
0034.JPEG,val,15,low,0.92471,0.912821,0.104247,0.164103,enhanced_detection
0034.JPEG,val,0,dent,0.926641,0.730769,0.138996,0.2,enhanced_detection
0034.JPEG,val,11,right_door,0.926641,0.730769,0.138996,0.2,enhanced_detection
0034.JPEG,val,15,low,0.926641,0.730769,0.138996,0.2,enhanced_detection
0035.JPEG,val,2,crack,0.139098,0.224868,0.278195,0.449735,enhanced_detection
0035.JPEG,val,10,left_door,0.139098,0.224868,0.278195,0.449735,enhanced_detection
0035.JPEG,val,17,high,0.139098,0.224868,0.278195,0.449735,enhanced_detection
0035.JPEG,val,2,crack,0.49812,0.793651,0.996241,0.402116,enhanced_detection
0035.JPEG,val,6,front_bumper,0.49812,0.793651,0.996241,0.402116,enhanced_detection
0035.JPEG,val,16,medium,0.49812,0.793651,0.996241,0.402116,enhanced_detection
0036.JPEG,val,0,dent,0.061776,0.938144,0.123552,0.113402,enhanced_detection
0036.JPEG,val,6,front_bumper,0.061776,0.938144,0.123552,0.113402,enhanced_detection
0036.JPEG,val,16,medium,0.061776,0.938144,0.123552,0.113402,enhanced_detection
0036.JPEG,val,2,crack,0.864865,0.917526,0.177606,0.154639,enhanced_detection
0036.JPEG,val,6,front_bumper,0.864865,0.917526,0.177606,0.154639,enhanced_detection
0036.JPEG,val,16,medium,0.864865,0.917526,0.177606,0.154639,enhanced_detection
0036.JPEG,val,4,paint_damage,0.955598,0.703608,0.081081,0.201031,enhanced_detection
0036.JPEG,val,11,right_door,0.955598,0.703608,0.081081,0.201031,enhanced_detection
0036.JPEG,val,16,medium,0.955598,0.703608,0.081081,0.201031,enhanced_detection
0036.JPEG,val,2,crack,0.399614,0.845361,0.081081,0.082474,enhanced_detection
0036.JPEG,val,6,front_bumper,0.399614,0.845361,0.081081,0.082474,enhanced_detection
0036.JPEG,val,15,low,0.399614,0.845361,0.081081,0.082474,enhanced_detection
0036.JPEG,val,2,crack,0.521236,0.912371,0.07722,0.113402,enhanced_detection
0036.JPEG,val,6,front_bumper,0.521236,0.912371,0.07722,0.113402,enhanced_detection
0036.JPEG,val,15,low,0.521236,0.912371,0.07722,0.113402,enhanced_detection
0038.JPEG,val,0,dent,0.641732,0.068182,0.102362,0.085859,enhanced_detection
0038.JPEG,val,7,rear_bumper,0.641732,0.068182,0.102362,0.085859,enhanced_detection
0038.JPEG,val,15,low,0.641732,0.068182,0.102362,0.085859,enhanced_detection
0039.JPEG,val,2,crack,0.071186,0.935673,0.142373,0.116959,enhanced_detection
0039.JPEG,val,6,front_bumper,0.071186,0.935673,0.142373,0.116959,enhanced_detection
0039.JPEG,val,16,medium,0.071186,0.935673,0.142373,0.116959,enhanced_detection
0042.JPEG,val,0,dent,0.181467,0.881443,0.332046,0.226804,enhanced_detection
0042.JPEG,val,6,front_bumper,0.181467,0.881443,0.332046,0.226804,enhanced_detection
0042.JPEG,val,16,medium,0.181467,0.881443,0.332046,0.226804,enhanced_detection
0043.JPEG,train,2,crack,0.198276,0.344828,0.396552,0.689655,enhanced_detection
0043.JPEG,train,10,left_door,0.198276,0.344828,0.396552,0.689655,enhanced_detection
0043.JPEG,train,17,high,0.198276,0.344828,0.396552,0.689655,enhanced_detection
0043.JPEG,train,0,dent,0.455172,0.885057,0.131034,0.114943,enhanced_detection
0043.JPEG,train,6,front_bumper,0.455172,0.885057,0.131034,0.114943,enhanced_detection
0043.JPEG,train,15,low,0.455172,0.885057,0.131034,0.114943,enhanced_detection
0043.JPEG,train,0,dent,0.817241,0.729885,0.158621,0.114943,enhanced_detection
0043.JPEG,train,11,right_door,0.817241,0.729885,0.158621,0.114943,enhanced_detection
0043.JPEG,train,15,low,0.817241,0.729885,0.158621,0.114943,enhanced_detection
0043.JPEG,train,0,dent,0.705172,0.321839,0.051724,0.126437,enhanced_detection
0043.JPEG,train,8,hood,0.705172,0.321839,0.051724,0.126437,enhanced_detection
0043.JPEG,train,15,low,0.705172,0.321839,0.051724,0.126437,enhanced_detection
0043.JPEG,train,0,dent,0.684483,0.787356,0.106897,0.091954,enhanced_detection
0043.JPEG,train,6,front_bumper,0.684483,0.787356,0.106897,0.091954,enhanced_detection
0043.JPEG,train,15,low,0.684483,0.787356,0.106897,0.091954,enhanced_detection
0045.JPEG,val,2,crack,0.914716,0.419643,0.16388,0.10119,enhanced_detection
0045.JPEG,val,11,right_door,0.914716,0.419643,0.16388,0.10119,enhanced_detection
0045.JPEG,val,15,low,0.914716,0.419643,0.16388,0.10119,enhanced_detection
0045.JPEG,val,0,dent,0.714047,0.556548,0.070234,0.125,enhanced_detection
0045.JPEG,val,11,right_door,0.714047,0.556548,0.070234,0.125,enhanced_detection
0045.JPEG,val,15,low,0.714047,0.556548,0.070234,0.125,enhanced_detection
0046.JPEG,train,2,crack,0.265,0.053571,0.123333,0.107143,enhanced_detection
0046.JPEG,train,7,rear_bumper,0.265,0.053571,0.123333,0.107143,enhanced_detection
0046.JPEG,train,16,medium,0.265,0.053571,0.123333,0.107143,enhanced_detection
0046.JPEG,train,0,dent,0.101667,0.907738,0.143333,0.172619,enhanced_detection
0046.JPEG,train,6,front_bumper,0.101667,0.907738,0.143333,0.172619,enhanced_detection
0046.JPEG,train,15,low,0.101667,0.907738,0.143333,0.172619,enhanced_detection
0047.JPEG,val,0,dent,0.366795,0.234536,0.100386,0.252577,enhanced_detection
0047.JPEG,val,9,windshield,0.366795,0.234536,0.100386,0.252577,enhanced_detection
0047.JPEG,val,16,medium,0.366795,0.234536,0.100386,0.252577,enhanced_detection
0047.JPEG,val,0,dent,0.706564,0.659794,0.162162,0.14433,enhanced_detection
0047.JPEG,val,11,right_door,0.706564,0.659794,0.162162,0.14433,enhanced_detection
0047.JPEG,val,15,low,0.706564,0.659794,0.162162,0.14433,enhanced_detection
0049.JPEG,train,1,scratch,0.498077,0.100515,0.996154,0.201031,enhanced_detection
0049.JPEG,train,7,rear_bumper,0.498077,0.100515,0.996154,0.201031,enhanced_detection
0049.JPEG,train,17,high,0.498077,0.100515,0.996154,0.201031,enhanced_detection
0049.JPEG,train,4,paint_damage,0.215385,0.938144,0.123077,0.113402,enhanced_detection
0049.JPEG,train,6,front_bumper,0.215385,0.938144,0.123077,0.113402,enhanced_detection
0049.JPEG,train,15,low,0.215385,0.938144,0.123077,0.113402,enhanced_detection
0049.JPEG,train,2,crack,0.615385,0.935567,0.761538,0.118557,enhanced_detection
0049.JPEG,train,6,front_bumper,0.615385,0.935567,0.761538,0.118557,enhanced_detection
0049.JPEG,train,16,medium,0.615385,0.935567,0.761538,0.118557,enhanced_detection
0049.JPEG,train,2,crack,0.498077,0.81701,0.996154,0.304124,enhanced_detection
0049.JPEG,train,6,front_bumper,0.498077,0.81701,0.996154,0.304124,enhanced_detection
0049.JPEG,train,16,medium,0.498077,0.81701,0.996154,0.304124,enhanced_detection
0049.JPEG,train,2,crack,0.498077,0.402062,0.996154,0.628866,enhanced_detection
0049.JPEG,train,14,other_location,0.498077,0.402062,0.996154,0.628866,enhanced_detection
0049.JPEG,train,16,medium,0.498077,0.402062,0.996154,0.628866,enhanced_detection
0050.JPEG,train,3,broken_part,0.69305,0.206186,0.606178,0.412371,enhanced_detection
0050.JPEG,train,9,windshield,0.69305,0.206186,0.606178,0.412371,enhanced_detection
0050.JPEG,train,16,medium,0.69305,0.206186,0.606178,0.412371,enhanced_detection
0050.JPEG,train,0,dent,0.330116,0.873711,0.281853,0.242268,enhanced_detection
0050.JPEG,train,6,front_bumper,0.330116,0.873711,0.281853,0.242268,enhanced_detection
0050.JPEG,train,16,medium,0.330116,0.873711,0.281853,0.242268,enhanced_detection
0050.JPEG,train,0,dent,0.289575,0.716495,0.061776,0.164948,enhanced_detection
0050.JPEG,train,10,left_door,0.289575,0.716495,0.061776,0.164948,enhanced_detection
0050.JPEG,train,15,low,0.289575,0.716495,0.061776,0.164948,enhanced_detection
0052.JPEG,val,4,paint_damage,0.594203,0.953552,0.130435,0.081967,enhanced_detection
0052.JPEG,val,6,front_bumper,0.594203,0.953552,0.130435,0.081967,enhanced_detection
0052.JPEG,val,15,low,0.594203,0.953552,0.130435,0.081967,enhanced_detection
0054.JPEG,val,0,dent,0.059846,0.78866,0.119691,0.164948,enhanced_detection
0054.JPEG,val,10,left_door,0.059846,0.78866,0.119691,0.164948,enhanced_detection
0054.JPEG,val,15,low,0.059846,0.78866,0.119691,0.164948,enhanced_detection
0055.JPEG,val,3,broken_part,0.18,0.317778,0.36,0.235556,enhanced_detection
0055.JPEG,val,10,left_door,0.18,0.317778,0.36,0.235556,enhanced_detection
0055.JPEG,val,16,medium,0.18,0.317778,0.36,0.235556,enhanced_detection
0055.JPEG,val,2,crack,0.635556,0.922222,0.346667,0.146667,enhanced_detection
0055.JPEG,val,6,front_bumper,0.635556,0.922222,0.346667,0.146667,enhanced_detection
0055.JPEG,val,16,medium,0.635556,0.922222,0.346667,0.146667,enhanced_detection
0055.JPEG,val,0,dent,0.951111,0.922222,0.088889,0.146667,enhanced_detection
0055.JPEG,val,13,side_panel,0.951111,0.922222,0.088889,0.146667,enhanced_detection
0055.JPEG,val,15,low,0.951111,0.922222,0.088889,0.146667,enhanced_detection
0055.JPEG,val,0,dent,0.88,0.935556,0.168889,0.12,enhanced_detection
0055.JPEG,val,6,front_bumper,0.88,0.935556,0.168889,0.12,enhanced_detection
0055.JPEG,val,15,low,0.88,0.935556,0.168889,0.12,enhanced_detection
0055.JPEG,val,0,dent,0.064444,0.497778,0.128889,0.133333,enhanced_detection
0055.JPEG,val,10,left_door,0.064444,0.497778,0.128889,0.133333,enhanced_detection
0055.JPEG,val,15,low,0.064444,0.497778,0.128889,0.133333,enhanced_detection
0055.JPEG,val,0,dent,0.344444,0.92,0.084444,0.106667,enhanced_detection
0055.JPEG,val,6,front_bumper,0.344444,0.92,0.084444,0.106667,enhanced_detection
0055.JPEG,val,15,low,0.344444,0.92,0.084444,0.106667,enhanced_detection
0055.JPEG,val,0,dent,0.451111,0.908889,0.128889,0.137778,enhanced_detection
0055.JPEG,val,6,front_bumper,0.451111,0.908889,0.128889,0.137778,enhanced_detection
0055.JPEG,val,15,low,0.451111,0.908889,0.128889,0.137778,enhanced_detection
0055.JPEG,val,2,crack,0.111111,0.82,0.222222,0.075556,enhanced_detection
0055.JPEG,val,10,left_door,0.111111,0.82,0.222222,0.075556,enhanced_detection
0055.JPEG,val,15,low,0.111111,0.82,0.222222,0.075556,enhanced_detection
0058.JPEG,val,2,crack,0.359073,0.115979,0.262548,0.159794,enhanced_detection
0058.JPEG,val,7,rear_bumper,0.359073,0.115979,0.262548,0.159794,enhanced_detection
0058.JPEG,val,16,medium,0.359073,0.115979,0.262548,0.159794,enhanced_detection
0058.JPEG,val,0,dent,0.911197,0.301546,0.169884,0.262887,enhanced_detection
0058.JPEG,val,11,right_door,0.911197,0.301546,0.169884,0.262887,enhanced_detection
0058.JPEG,val,16,medium,0.911197,0.301546,0.169884,0.262887,enhanced_detection
0059.JPEG,val,0,dent,0.82646,0.904624,0.072165,0.179191,enhanced_detection
0059.JPEG,val,6,front_bumper,0.82646,0.904624,0.072165,0.179191,enhanced_detection
0059.JPEG,val,15,low,0.82646,0.904624,0.072165,0.179191,enhanced_detection
0060.JPEG,val,2,crack,0.459459,0.051546,0.918919,0.103093,enhanced_detection
0060.JPEG,val,7,rear_bumper,0.459459,0.051546,0.918919,0.103093,enhanced_detection
0060.JPEG,val,16,medium,0.459459,0.051546,0.918919,0.103093,enhanced_detection
0061.JPEG,val,2,crack,0.617761,0.917526,0.687259,0.154639,enhanced_detection
0061.JPEG,val,6,front_bumper,0.617761,0.917526,0.687259,0.154639,enhanced_detection
