image_name,split,damage_type,damage_location,severity,bounding_box,confidence,flag
0066.JPEG,train,paint_damage,side_panel,medium,"[2, 2, 253, 191]",0.6338,auto_labeled
0067.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5528,manual_review
0068.JPEG,train,paint_damage,side_panel,medium,"[0, 0, 226, 223]",0.6115,auto_labeled
0069.JPEG,train,paint_damage,side_panel,medium,"[1, 0, 273, 183]",0.6706,auto_labeled
0070.JPEG,train,scratch,side_panel,high,"[0, 0, 275, 183]",0.7349,auto_labeled
0071.JPEG,train,paint_damage,side_panel,high,"[0, 0, 259, 194]",0.8458,auto_labeled
0072.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5079,manual_review
0073.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4489,manual_review
0074.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4773,manual_review
0075.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4506,manual_review
0076.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5131,manual_review
0077.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5638,manual_review
0078.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4945,manual_review
0079.JPEG,train,paint_damage,side_panel,high,"[0, 0, 336, 150]",0.8921,auto_labeled
0080.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5148,manual_review
0081.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5304,manual_review
0082.JPEG,train,scratch,side_panel,medium,"[84, 0, 131, 168]",0.6762,auto_labeled
0083.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.435,manual_review
0084.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5717,manual_review
0085.JPEG,train,paint_damage,side_panel,high,"[0, 0, 308, 164]",0.781,auto_labeled
0086.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5532,manual_review
0087.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5051,manual_review
0088.JPEG,train,paint_damage,side_panel,high,"[0, 17, 267, 171]",0.8053,auto_labeled
0088.JPEG,train,paint_damage,windshield,medium,"[0, 0, 267, 43]",0.6403,auto_labeled
0088.JPEG,train,dent,left_door,low,"[0, 130, 25, 25]",0.4203,auto_labeled
0089.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4663,manual_review
0090.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.563,manual_review
0091.JPEG,train,paint_damage,side_panel,medium,"[0, 0, 259, 173]",0.6768,auto_labeled
0092.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.3996,manual_review
0093.JPEG,train,paint_damage,right_door,medium,"[257, 0, 41, 34]",0.6431,auto_labeled
0093.JPEG,train,paint_damage,side_panel,high,"[0, 0, 299, 168]",0.8008,auto_labeled
0093.JPEG,train,paint_damage,right_door,low,"[279, 64, 19, 68]",0.5061,auto_labeled
0094.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5119,manual_review
0095.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4936,manual_review
0096.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.441,manual_review
0097.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.481,manual_review
0098.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4635,manual_review
0099.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5331,manual_review
0100.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.557,manual_review
0101.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4786,manual_review
0102.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4695,manual_review
0103.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4945,manual_review
0104.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.49,manual_review
0105.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5234,manual_review
0106.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4945,manual_review
0107.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4997,manual_review
0108.jpeg,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4838,manual_review
0109.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.457,manual_review
0110.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5055,manual_review
0111.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5375,manual_review
0112.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4758,manual_review
0113.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4162,manual_review
0114.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5664,manual_review
0115.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4891,manual_review
0116.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4928,manual_review
0117.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4981,manual_review
0118.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4293,manual_review
0119.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.568,manual_review
0120.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5228,manual_review
0121.JPEG,train,crack,left_door,medium,"[0, 45, 41, 11]",0.7437,auto_labeled
0121.JPEG,train,scratch,side_panel,medium,"[0, 0, 280, 180]",0.597,auto_labeled
0122.JPEG,train,scratch,side_panel,medium,"[0, 0, 262, 184]",0.6191,auto_labeled
0123.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5826,manual_review
0124.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4677,manual_review
0125.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.512,manual_review
0126.JPEG,train,paint_damage,side_panel,medium,"[93, 80, 58, 50]",0.6302,auto_labeled
0126.JPEG,train,paint_damage,side_panel,high,"[0, 0, 300, 168]",0.7757,auto_labeled
0127.jpeg,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5303,manual_review
0128.jpeg,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.458,manual_review
0129.jpeg,train,paint_damage,side_panel,medium,"[0, 0, 194, 235]",0.6704,auto_labeled
0130.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5045,manual_review
0131.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4626,manual_review
0132.JPEG,train,paint_damage,side_panel,high,"[0, 0, 259, 194]",0.7219,auto_labeled
0133.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4617,manual_review
0134.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4486,manual_review
0135.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5229,manual_review
0136.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.442,manual_review
0137.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4934,manual_review
0138.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5118,manual_review
0139.JPEG,train,paint_damage,side_panel,high,"[0, 0, 267, 189]",0.751,auto_labeled
0140.JPEG,train,scratch,side_panel,medium,"[0, 0, 194, 259]",0.6221,auto_labeled
0141.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5017,manual_review
0142.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4697,manual_review
0143.jpeg,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4779,manual_review
0144.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5762,manual_review
0145.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5044,manual_review
0146.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5144,manual_review
0147.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4294,manual_review
0148.jpeg,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4482,manual_review
0149.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5743,manual_review
0150.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4751,manual_review
0151.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5138,manual_review
0152.jpeg,train,paint_damage,side_panel,medium,"[0, 0, 262, 192]",0.6999,auto_labeled
0153.JPEG,train,paint_damage,side_panel,medium,"[0, 0, 275, 183]",0.6136,auto_labeled
0154.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5721,manual_review
0155.jpeg,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4404,manual_review
0156.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4634,manual_review
0157.jpeg,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.407,manual_review
0158.jpeg,train,crack,front_bumper,low,"[0, 219, 23, 71]",0.5495,auto_labeled
0158.jpeg,train,paint_damage,side_panel,medium,"[0, 0, 173, 291]",0.6681,auto_labeled
0159.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4713,manual_review
0160.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5187,manual_review
0161.jpeg,train,scratch,side_panel,high,"[0, 0, 179, 282]",0.7359,auto_labeled
0162.jpeg,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4958,manual_review
0163.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5819,manual_review
0164.JPEG,train,paint_damage,side_panel,high,"[0, 0, 179, 280]",0.7732,auto_labeled
0165.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4788,manual_review
0166.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4922,manual_review
0167.JPEG,train,paint_damage,side_panel,high,"[0, 0, 179, 280]",0.8583,auto_labeled
0168.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.58,manual_review
0169.jpeg,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4164,manual_review
0170.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5402,manual_review
0171.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5148,manual_review
0172.jpeg,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4658,manual_review
0173.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4145,manual_review
0174.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5232,manual_review
0175.JPEG,train,paint_damage,side_panel,medium,"[0, 0, 275, 183]",0.6904,auto_labeled
0176.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4762,manual_review
0177.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.472,manual_review
0178.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5972,manual_review
0179.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.59,manual_review
0180.jpeg,train,paint_damage,side_panel,high,"[0, 0, 300, 137]",0.752,auto_labeled
0181.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5134,manual_review
0182.JPEG,train,scratch,side_panel,medium,"[0, 0, 259, 171]",0.6367,auto_labeled
0183.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4658,manual_review
0184.jpeg,train,paint_damage,side_panel,high,"[0, 0, 299, 168]",0.7186,auto_labeled
0185.JPEG,train,paint_damage,side_panel,medium,"[0, 0, 328, 147]",0.6538,auto_labeled
0185.JPEG,train,crack,side_panel,low,"[0, 137, 328, 16]",0.566,auto_labeled
0186.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4398,manual_review
0187.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.595,manual_review
0188.jpeg,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5485,manual_review
0189.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4646,manual_review
0190.JPEG,train,scratch,side_panel,high,"[0, 0, 277, 182]",0.7475,auto_labeled
0191.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5227,manual_review
0192.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5885,manual_review
0193.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5681,manual_review
0194.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.3881,manual_review
0195.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5224,manual_review
0196.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4649,manual_review
0197.JPEG,train,paint_damage,side_panel,high,"[0, 0, 259, 194]",0.7697,auto_labeled
0198.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5106,manual_review
0199.jpeg,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4741,manual_review
0200.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5351,manual_review
0201.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4614,manual_review
0202.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4615,manual_review
0203.JPEG,train,paint_damage,side_panel,high,"[0, 0, 259, 180]",0.7031,auto_labeled
0203.JPEG,train,crack,front_bumper,medium,"[0, 169, 259, 24]",0.6081,auto_labeled
0204.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4362,manual_review
0205.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4686,manual_review
0206.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4531,manual_review
0207.JPEG,train,scratch,side_panel,medium,"[0, 0, 180, 280]",0.6138,auto_labeled
0208.JPEG,train,scratch,side_panel,medium,"[0, 0, 268, 188]",0.6002,auto_labeled
0209.jpeg,train,paint_damage,side_panel,high,"[0, 0, 270, 187]",0.778,auto_labeled
0210.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5422,manual_review
0211.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.483,manual_review
0212.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.493,manual_review
0213.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5081,manual_review
0214.JPEG,train,paint_damage,side_panel,medium,"[0, 0, 300, 168]",0.7094,auto_labeled
0215.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.525,manual_review
0216.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5745,manual_review
0217.JPEG,train,paint_damage,side_panel,high,"[0, 0, 310, 162]",0.8121,auto_labeled
0217.JPEG,train,paint_damage,left_door,low,"[0, 130, 46, 31]",0.5147,auto_labeled
0218.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4079,manual_review
0219.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4201,manual_review
0220.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4427,manual_review
0221.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4559,manual_review
0222.JPEG,train,scratch,side_panel,high,"[0, 0, 296, 170]",0.7805,auto_labeled
0223.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4807,manual_review
0224.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4765,manual_review
0225.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5081,manual_review
0226.JPEG,train,paint_damage,side_panel,high,"[0, 0, 267, 189]",0.8316,auto_labeled
0226.JPEG,train,paint_damage,side_panel,low,"[141, 113, 15, 12]",0.5675,auto_labeled
0227.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4633,manual_review
0228.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5238,manual_review
0229.JPEG,train,crack,front_bumper,medium,"[0, 159, 269, 28]",0.6637,auto_labeled
0229.JPEG,train,paint_damage,side_panel,medium,"[0, 0, 269, 168]",0.6356,auto_labeled
0230.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5652,manual_review
0231.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.3733,manual_review
0232.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5801,manual_review
0233.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5306,manual_review
0234.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4607,manual_review
0235.JPEG,train,paint_damage,side_panel,medium,"[14, 23, 231, 152]",0.6226,auto_labeled
0236.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4555,manual_review
0237.JPEG,train,paint_damage,side_panel,high,"[0, 0, 269, 187]",0.83,auto_labeled
0238.JPEG,train,scratch,side_panel,high,"[0, 0, 259, 194]",0.8002,auto_labeled
0239.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4814,manual_review
0240.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5903,manual_review
0241.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.515,manual_review
0242.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.509,manual_review
0243.JPEG,train,paint_damage,side_panel,medium,"[0, 0, 275, 183]",0.6435,auto_labeled
0244.JPEG,train,paint_damage,side_panel,medium,"[0, 0, 258, 196]",0.6717,auto_labeled
0245.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5083,manual_review
0246.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5574,manual_review
0247.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4714,manual_review
0248.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4944,manual_review
0249.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.5261,manual_review
0250.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4542,manual_review
0251.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4424,manual_review
0252.JPEG,train,manual_review_needed,manual_review_needed,manual_review_needed,manual_review_needed,0.4025,manual_review
0253.JPEG,train,scratch,side_panel,high,"[0, 0, 259, 194]",0.7128,auto_labeled
0254.JPEG,train,paint_damage,side_panel,high,"[0, 0, 259, 194]",0.7655,auto_labeled
0254.JPEG,train,dent,right_door,low,"[244, 16, 14, 13]",0.4635,auto_labeled
0255.JPEG,train,crack,front_bumper,low,"[0, 182, 259, 11]",0.6186,auto_labeled
